aelig,000c6
amp,00026
aacute,000c1
abreve,00102
acirc,000c2
acy,00410
afr,1d504
agrave,000c0
alpha,00391
amacr,00100
and,02a53
aogon,00104
aopf,1d538
applyfunction,02061
aring,000c5
ascr,1d49c
assign,02254
atilde,000c3
auml,000c4
backslash,02216
barv,02ae7
barwed,02306
bcy,00411
because,02235
bernoullis,0212c
beta,00392
bfr,1d505
bopf,1d539
breve,002d8
bscr,0212c
bumpeq,0224e
chcy,00427
copy,000a9
cacute,00106
cap,022d2
capitaldifferentiald,02145
cayleys,0212d
ccaron,0010c
ccedil,000c7
ccirc,00108
cconint,02230
cdot,0010a
cedilla,000b8
centerdot,000b7
cfr,0212d
chi,003a7
circledot,02299
circleminus,02296
circleplus,02295
circletimes,02297
clockwisecontourintegral,02232
closecurlydoublequote,0201d
closecurlyquote,02019
colon,02237
colone,02a74
congruent,02261
conint,0222f
contourintegral,0222e
copf,02102
coproduct,02210
counterclockwisecontourintegral,02233
cross,02a2f
cscr,1d49e
cup,022d3
cupcap,0224d
dd,02145
ddotrahd,02911
djcy,00402
dscy,00405
dzcy,0040f
dagger,02021
darr,021a1
dashv,02ae4
dcaron,0010e
dcy,00414
del,02207
delta,00394
dfr,1d507
diacriticalacute,000b4
diacriticaldot,002d9
diacriticaldoubleacute,002dd
diacriticalgrave,00060
diacriticaltilde,002dc
diamond,022c4
differentiald,02146
dopf,1d53b
dot,000a8
dotdot,020dc
dotequal,02250
doublecontourintegral,0222f
doubledot,000a8
doubledownarrow,021d3
doubleleftarrow,021d0
doubleleftrightarrow,021d4
doublelefttee,02ae4
doublelongleftarrow,027f8
doublelongleftrightarrow,027fa
doublelongrightarrow,027f9
doublerightarrow,021d2
doublerighttee,022a8
doubleuparrow,021d1
doubleupdownarrow,021d5
doubleverticalbar,02225
downarrow,02193
downarrowbar,02913
downarrowuparrow,021f5
downbreve,00311
downleftrightvector,02950
downleftteevector,0295e
downleftvector,021bd
downleftvectorbar,02956
downrightteevector,0295f
downrightvector,021c1
downrightvectorbar,02957
downtee,022a4
downteearrow,021a7
downarrow,021d3
dscr,1d49f
dstrok,00110
eng,0014a
eth,000d0
eacute,000c9
ecaron,0011a
ecirc,000ca
ecy,0042d
edot,00116
efr,1d508
egrave,000c8
element,02208
emacr,00112
emptysmallsquare,025fb
emptyverysmallsquare,025ab
eogon,00118
eopf,1d53c
epsilon,00395
equal,02a75
equaltilde,02242
equilibrium,021cc
escr,02130
esim,02a73
eta,00397
euml,000cb
exists,02203
exponentiale,02147
fcy,00424
ffr,1d509
filledsmallsquare,025fc
filledverysmallsquare,025aa
fopf,1d53d
forall,02200
fouriertrf,02131
fscr,02131
gjcy,00403
gt,0003e
gamma,00393
gammad,003dc
gbreve,0011e
gcedil,00122
gcirc,0011c
gcy,00413
gdot,00120
gfr,1d50a
gg,022d9
gopf,1d53e
greaterequal,02265
greaterequalless,022db
greaterfullequal,02267
greatergreater,02aa2
greaterless,02277
greaterslantequal,02a7e
greatertilde,02273
gscr,1d4a2
gt,0226b
hardcy,0042a
hacek,002c7
hat,0005e
hcirc,00124
hfr,0210c
hilbertspace,0210b
hopf,0210d
horizontalline,02500
hscr,0210b
hstrok,00126
humpdownhump,0224e
humpequal,0224f
iecy,00415
ijlig,00132
iocy,00401
iacute,000cd
icirc,000ce
icy,00418
idot,00130
ifr,02111
igrave,000cc
im,02111
imacr,0012a
imaginaryi,02148
implies,021d2
int,0222c
integral,0222b
intersection,022c2
invisiblecomma,02063
invisibletimes,02062
iogon,0012e
iopf,1d540
iota,00399
iscr,02110
itilde,00128
iukcy,00406
iuml,000cf
jcirc,00134
jcy,00419
jfr,1d50d
jopf,1d541
jscr,1d4a5
jsercy,00408
jukcy,00404
khcy,00425
